"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Lumensyvyys [cm]","Sademäärä [mm]","Ilman keskilämpötila [°C]"
"Rovaniemi Apukka","2020","2","19","02:00","81","-1","-8"
"Rovaniemi Apukka","2020","2","20","02:00","81","0.7","-17.6"
"Rovaniemi Apukka","2020","2","21","02:00","81","5.3","-1.1"
"Rovaniemi Apukka","2020","2","22","02:00","85","5.3","1.2"
"Rovaniemi Apukka","2020","2","23","02:00","88","-1","-2.3"
"Rovaniemi Apukka","2020","2","24","02:00","86","-1","-6"
"Rovaniemi Apukka","2020","2","25","02:00","86","-1","-12.5"
"Rovaniemi Apukka","2020","2","26","02:00","85","-1","-21.7"
"Rovaniemi Apukka","2020","2","27","02:00","86","-1","-13.2"
"Rovaniemi Apukka","2020","2","28","02:00","85","-1","-12.6"
"Rovaniemi Apukka","2020","2","29","02:00","85","-1","-22.6"
"Rovaniemi Apukka","2020","3","1","02:00","84","0.2","-18.9"
"Rovaniemi Apukka","2020","3","2","02:00","85","-1","-14.7"
"Rovaniemi Apukka","2020","3","3","02:00","84","-1","-17.2"
"Rovaniemi Apukka","2020","3","4","02:00","84","2.2","-15.5"
"Rovaniemi Apukka","2020","3","5","02:00","89","4.7","-5"
"Rovaniemi Apukka","2020","3","6","02:00","92","0.1","-4.7"
"Rovaniemi Apukka","2020","3","7","02:00","93","-1","-8.6"
"Rovaniemi Apukka","2020","3","8","02:00","92","5.7","-0.9"
"Rovaniemi Apukka","2020","3","9","02:00","91","0.6","2"
"Rovaniemi Apukka","2020","3","10","02:00","87","0.4","1"
"Rovaniemi Apukka","2020","3","11","02:00","86","2.6","-0.1"
"Rovaniemi Apukka","2020","3","12","02:00","87","3.7","0.3"
"Rovaniemi Apukka","2020","3","13","02:00","89","0.1","-6.1"
"Rovaniemi Apukka","2020","3","14","02:00","86","-1","-12.6"
"Rovaniemi Apukka","2020","3","15","02:00","86","5.6","-2.3"
"Rovaniemi Apukka","2020","3","16","02:00","91","-1","-1.4"
"Rovaniemi Apukka","2020","3","17","02:00","88","1.8","-1.8"
"Rovaniemi Apukka","2020","3","18","02:00","88","-1","-0.7"
"Rovaniemi Apukka","2020","3","19","02:00","88","-1","-7.8"
"Rovaniemi Apukka","2020","3","20","02:00","87","-1","-11.2"
"Rovaniemi Apukka","2020","3","21","02:00","87","-1","-12"
"Rovaniemi Apukka","2020","3","22","02:00","87","-1","-5.2"
"Rovaniemi Apukka","2020","3","23","02:00","86","-1","0.4"
"Rovaniemi Apukka","2020","3","24","02:00","86","-1","2"
"Rovaniemi Apukka","2020","3","25","02:00","84","-1","3.8"
"Rovaniemi Apukka","2020","3","26","02:00","81","-1","1.8"
"Rovaniemi Apukka","2020","3","27","02:00","80","-1","1.8"
"Rovaniemi Apukka","2020","3","28","02:00","78","-1","-1.8"
"Rovaniemi Apukka","2020","3","29","02:00","78","-1","-6.7"
"Rovaniemi Apukka","2020","3","30","03:00","78","-1","-7.4"
"Rovaniemi Apukka","2020","3","31","03:00","78","6.4","-4.8"
"Rovaniemi Apukka","2020","4","1","03:00","83","-1","-5.4"
"Rovaniemi Apukka","2020","4","2","03:00","83","-1","-8.2"
"Rovaniemi Apukka","2020","4","3","03:00","82","-1","-6.3"
"Rovaniemi Apukka","2020","4","4","03:00","80","-1","-10.3"
"Rovaniemi Apukka","2020","4","5","03:00","82","-1","-9"
"Rovaniemi Apukka","2020","4","6","03:00","80","-1","-6.8"
"Rovaniemi Apukka","2020","4","7","03:00","81","0.5","0.2"
"Rovaniemi Apukka","2020","4","8","03:00","79","-1","2.4"
"Rovaniemi Apukka","2020","4","9","03:00","77","-1","-0.3"
"Rovaniemi Apukka","2020","4","10","03:00","76","-1","-4.2"
"Rovaniemi Apukka","2020","4","11","03:00","76","-1","-3.2"
"Rovaniemi Apukka","2020","4","12","03:00","75","8.7","-2.4"
"Rovaniemi Apukka","2020","4","13","03:00","85","2.3","0.8"
"Rovaniemi Apukka","2020","4","14","03:00","85","-1","0.8"
"Rovaniemi Apukka","2020","4","15","03:00","79","-1","0.1"
"Rovaniemi Apukka","2020","4","16","03:00","78","0.1","1.2"
"Rovaniemi Apukka","2020","4","17","03:00","78","0.4","1"
"Rovaniemi Apukka","2020","4","18","03:00","76","0.4","1.8"
"Rovaniemi Apukka","2020","4","19","03:00","75","-1","3.3"
"Rovaniemi Apukka","2020","4","20","03:00","68","-1","4.9"
"Rovaniemi Apukka","2020","4","21","03:00","63","0.5","3.8"
"Rovaniemi Apukka","2020","4","22","03:00","58","-1","2.3"
"Rovaniemi Apukka","2020","4","23","03:00","57","-1","1.1"
"Rovaniemi Apukka","2020","4","24","03:00","54","-1","-1"
"Rovaniemi Apukka","2020","4","25","03:00","54","0.6","0.1"
"Rovaniemi Apukka","2020","4","26","03:00","54","-1","1.2"
"Rovaniemi Apukka","2020","4","27","03:00","54","-1","-0.2"
"Rovaniemi Apukka","2020","4","28","03:00","53","-1","0.2"
"Rovaniemi Apukka","2020","4","29","03:00","53","-1","-0.1"
"Rovaniemi Apukka","2020","4","30","03:00","52","-1","-1.8"
"Rovaniemi Apukka","2020","5","1","03:00","50","-1","0.8"
"Rovaniemi Apukka","2020","5","2","03:00","48","6.7","1.9"
"Rovaniemi Apukka","2020","5","3","03:00","45","0.4","2.5"
"Rovaniemi Apukka","2020","5","4","03:00","42","0.1","3.3"
"Rovaniemi Apukka","2020","5","5","03:00","38","-1","4.3"
"Rovaniemi Apukka","2020","5","6","03:00","33","0.3","3.6"
"Rovaniemi Apukka","2020","5","7","03:00","26","-1","3"
"Rovaniemi Apukka","2020","5","8","03:00","22","-1","1.9"
"Rovaniemi Apukka","2020","5","9","03:00","19","-1","1.8"
"Rovaniemi Apukka","2020","5","10","03:00","17","14.7","-0.7"
"Rovaniemi Apukka","2020","5","11","03:00","25","-1","1.7"
"Rovaniemi Apukka","2020","5","12","03:00","21","-1","1.4"
"Rovaniemi Apukka","2020","5","13","03:00","20","-1","2.1"
"Rovaniemi Apukka","2020","5","14","03:00","17","-1","1.9"
"Rovaniemi Apukka","2020","5","15","03:00","16","-1","2.1"
"Rovaniemi Apukka","2020","5","16","03:00","12","-1","2"
"Rovaniemi Apukka","2020","5","17","03:00","7","-1","3.5"
"Rovaniemi Apukka","2020","5","18","03:00","-1","-1","3.8"
"Rovaniemi Apukka","2020","5","19","03:00","-1","3.7","3.9"
"Rovaniemi Apukka","2020","5","20","03:00","-1","-1","3.3"
"Rovaniemi Apukka","2020","5","21","03:00","-1","-1","4.9"
"Rovaniemi Apukka","2020","5","22","03:00","-1","-1","7.5"
"Rovaniemi Apukka","2020","5","23","03:00","-1","-1","9.3"
"Rovaniemi Apukka","2020","5","24","03:00","-1","-1","10.1"
"Rovaniemi Apukka","2020","5","25","03:00","-1","-1","12.1"
"Rovaniemi Apukka","2020","5","26","03:00","-1","-1","13.3"
"Rovaniemi Apukka","2020","5","27","03:00","-1","4.5","9.9"
"Rovaniemi Apukka","2020","5","28","03:00","-1","-1","9.8"
"Rovaniemi Apukka","2020","5","29","03:00","-1","-1","8.7"
"Rovaniemi Apukka","2020","5","30","03:00","-1","-1","10.7"
"Rovaniemi Apukka","2020","5","31","03:00","-1","-1","12.5"
"Rovaniemi Apukka","2020","6","1","03:00","-1","-1","16.2"
"Rovaniemi Apukka","2020","6","2","03:00","-1","-1","17.4"
"Rovaniemi Apukka","2020","6","3","03:00","-1","-1","13.9"
"Rovaniemi Apukka","2020","6","4","03:00","-1","-1","15.3"
"Rovaniemi Apukka","2020","6","5","03:00","-1","13.9","12.6"
"Rovaniemi Apukka","2020","6","6","03:00","-1","0.9","15.4"
"Rovaniemi Apukka","2020","6","7","03:00","-1","11.4","11"
"Rovaniemi Apukka","2020","6","8","03:00","-1","-1","13.6"
"Rovaniemi Apukka","2020","6","9","03:00","-1","-1","13.4"
"Rovaniemi Apukka","2020","6","10","03:00","-1","-1","13.6"
"Rovaniemi Apukka","2020","6","11","03:00","-1","-1","12.4"
"Rovaniemi Apukka","2020","6","12","03:00","-1","-1","14.2"
"Rovaniemi Apukka","2020","6","13","03:00","-1","-1","18"
"Rovaniemi Apukka","2020","6","14","03:00","-1","-1","19.4"
"Rovaniemi Apukka","2020","6","15","03:00","-1","2.4","16.3"
"Rovaniemi Apukka","2020","6","16","03:00","-1","-1","12.7"
"Rovaniemi Apukka","2020","6","17","03:00","-1","-1","16.4"
"Rovaniemi Apukka","2020","6","18","03:00","-1","0.4","17.6"
"Rovaniemi Apukka","2020","6","19","03:00","-1","-1","14.5"
"Rovaniemi Apukka","2020","6","20","03:00","-1","-1","13.8"
"Rovaniemi Apukka","2020","6","21","03:00","-1","-1","16.7"
"Rovaniemi Apukka","2020","6","22","03:00","-1","-1","20"
"Rovaniemi Apukka","2020","6","23","03:00","-1","-1","20.2"
"Rovaniemi Apukka","2020","6","24","03:00","-1","-1","20.5"
"Rovaniemi Apukka","2020","6","25","03:00","-1","-1","19.9"
"Rovaniemi Apukka","2020","6","26","03:00","-1","-1","17.4"
"Rovaniemi Apukka","2020","6","27","03:00","-1","-1","12.6"
"Rovaniemi Apukka","2020","6","28","03:00","-1","-1","14.2"
"Rovaniemi Apukka","2020","6","29","03:00","-1","2.5","16.6"
"Rovaniemi Apukka","2020","6","30","03:00","-1","16.1","15.1"
"Rovaniemi Apukka","2020","7","1","03:00","-1","10.8","10.4"
"Rovaniemi Apukka","2020","7","2","03:00","-1","0.2","11.9"
"Rovaniemi Apukka","2020","7","3","03:00","-1","3.4","10.7"
"Rovaniemi Apukka","2020","7","4","03:00","-1","14.1","11.9"
"Rovaniemi Apukka","2020","7","5","03:00","-1","4.2","10.9"
"Rovaniemi Apukka","2020","7","6","03:00","-1","4.7","11.3"
"Rovaniemi Apukka","2020","7","7","03:00","-1","3.1","13.5"
"Rovaniemi Apukka","2020","7","8","03:00","-1","-1","13.9"
"Rovaniemi Apukka","2020","7","9","03:00","-1","16.9","14.6"
"Rovaniemi Apukka","2020","7","10","03:00","-1","4.7","11"
"Rovaniemi Apukka","2020","7","11","03:00","-1","-1","13"
"Rovaniemi Apukka","2020","7","12","03:00","-1","2","13.5"
"Rovaniemi Apukka","2020","7","13","03:00","-1","20.2","12.8"
"Rovaniemi Apukka","2020","7","14","03:00","-1","5.3","12.7"
"Rovaniemi Apukka","2020","7","15","03:00","-1","-1","14.6"
"Rovaniemi Apukka","2020","7","16","03:00","-1","-1","15.5"
"Rovaniemi Apukka","2020","7","17","03:00","-1","-1","17.2"
"Rovaniemi Apukka","2020","7","18","03:00","-1","-1","18.6"
"Rovaniemi Apukka","2020","7","19","03:00","-1","-1","18.5"
"Rovaniemi Apukka","2020","7","20","03:00","-1","-1","19.5"
"Rovaniemi Apukka","2020","7","21","03:00","-1","-1","19.8"
"Rovaniemi Apukka","2020","7","22","03:00","-1","5","17.9"
"Rovaniemi Apukka","2020","7","23","03:00","-1","5.1","16.7"
"Rovaniemi Apukka","2020","7","24","03:00","-1","7.2","14.1"
"Rovaniemi Apukka","2020","7","25","03:00","-1","-1","15"
"Rovaniemi Apukka","2020","7","26","03:00","-1","1.3","15.8"
"Rovaniemi Apukka","2020","7","27","03:00","-1","-1","16.1"
"Rovaniemi Apukka","2020","7","28","03:00","-1","-1","17.6"
"Rovaniemi Apukka","2020","7","29","03:00","-1","-1","18.4"
"Rovaniemi Apukka","2020","7","30","03:00","-1","1.7","16.5"
"Rovaniemi Apukka","2020","7","31","03:00","-1","-1","13.8"
"Rovaniemi Apukka","2020","8","1","03:00","-1","-1","14.6"
"Rovaniemi Apukka","2020","8","2","03:00","-1","-1","13.4"
"Rovaniemi Apukka","2020","8","3","03:00","-1","-1","13.2"
"Rovaniemi Apukka","2020","8","4","03:00","-1","7.9","13.4"
"Rovaniemi Apukka","2020","8","5","03:00","-1","1.4","16"
"Rovaniemi Apukka","2020","8","6","03:00","-1","-1","15.6"
"Rovaniemi Apukka","2020","8","7","03:00","-1","-1","17.1"
"Rovaniemi Apukka","2020","8","8","03:00","-1","0.5","18.3"
"Rovaniemi Apukka","2020","8","9","03:00","-1","-1","15.7"
"Rovaniemi Apukka","2020","8","10","03:00","-1","-1","12.1"
"Rovaniemi Apukka","2020","8","11","03:00","-1","-1","13.2"
"Rovaniemi Apukka","2020","8","12","03:00","-1","0.3","13"
"Rovaniemi Apukka","2020","8","13","03:00","-1","2.9","14.2"
"Rovaniemi Apukka","2020","8","14","03:00","-1","0.1","15.4"
"Rovaniemi Apukka","2020","8","15","03:00","-1","-1","16.6"
"Rovaniemi Apukka","2020","8","16","03:00","-1","-1","12"
"Rovaniemi Apukka","2020","8","17","03:00","-1","-1","10.2"
"Rovaniemi Apukka","2020","8","18","03:00","-1","-1","10.6"
"Rovaniemi Apukka","2020","8","19","03:00","-1","0.1","13.7"
"Rovaniemi Apukka","2020","8","20","03:00","-1","2.7","16.5"
"Rovaniemi Apukka","2020","8","21","03:00","-1","-1","18.4"
"Rovaniemi Apukka","2020","8","22","03:00","-1","3.8","16.9"
"Rovaniemi Apukka","2020","8","23","03:00","-1","0.1","16.7"
"Rovaniemi Apukka","2020","8","24","03:00","-1","-1","13.3"
"Rovaniemi Apukka","2020","8","25","03:00","-1","1.7","10.1"
"Rovaniemi Apukka","2020","8","26","03:00","-1","5.5","9.4"
"Rovaniemi Apukka","2020","8","27","03:00","-1","-1","7.6"
"Rovaniemi Apukka","2020","8","28","03:00","-1","-1","7.6"
"Rovaniemi Apukka","2020","8","29","03:00","-1","-1","8.7"
"Rovaniemi Apukka","2020","8","30","03:00","-1","-1","9.4"
"Rovaniemi Apukka","2020","8","31","03:00","-1","-1","7.5"
"Rovaniemi Apukka","2020","9","1","03:00","-1","-1","7.8"
"Rovaniemi Apukka","2020","9","2","03:00","-1","-1","9.5"
"Rovaniemi Apukka","2020","9","3","03:00","-1","-1","12.3"
"Rovaniemi Apukka","2020","9","4","03:00","-1","6.4","14.8"
"Rovaniemi Apukka","2020","9","5","03:00","-1","11.5","13.2"
"Rovaniemi Apukka","2020","9","6","03:00","-1","0.3","11.5"
"Rovaniemi Apukka","2020","9","7","03:00","-1","-1","10.7"
"Rovaniemi Apukka","2020","9","8","03:00","-1","1.7","11"
"Rovaniemi Apukka","2020","9","9","03:00","-1","10.6","9.9"
"Rovaniemi Apukka","2020","9","10","03:00","-1","0.4","8.4"
"Rovaniemi Apukka","2020","9","11","03:00","-1","-1","6.9"
"Rovaniemi Apukka","2020","9","12","03:00","-1","0.2","7.6"
"Rovaniemi Apukka","2020","9","13","03:00","-1","-1","8.8"
"Rovaniemi Apukka","2020","9","14","03:00","-1","0.4","7.8"
"Rovaniemi Apukka","2020","9","15","03:00","-1","-1","6.2"
"Rovaniemi Apukka","2020","9","16","03:00","-1","4.7","5.1"
"Rovaniemi Apukka","2020","9","17","03:00","-1","0.3","5.8"
"Rovaniemi Apukka","2020","9","18","03:00","-1","1.3","7.3"
"Rovaniemi Apukka","2020","9","19","03:00","-1","-1","7"
"Rovaniemi Apukka","2020","9","20","03:00","-1","2.4","4.4"
"Rovaniemi Apukka","2020","9","21","03:00","-1","5.5","6.9"
"Rovaniemi Apukka","2020","9","22","03:00","-1","-1","6.9"
"Rovaniemi Apukka","2020","9","23","03:00","-1","0.7","6.1"
"Rovaniemi Apukka","2020","9","24","03:00","-1","0.4","9.4"
"Rovaniemi Apukka","2020","9","25","03:00","-1","6.6","11.6"
"Rovaniemi Apukka","2020","9","26","03:00","-1","3.5","5"
"Rovaniemi Apukka","2020","9","27","03:00","-1","2","5.8"
"Rovaniemi Apukka","2020","9","28","03:00","-1","0.5","9.5"
"Rovaniemi Apukka","2020","9","29","03:00","-1","-1","8.9"
"Rovaniemi Apukka","2020","9","30","03:00","-","0.3","9.1"
"Rovaniemi Apukka","2020","10","1","03:00","-","0.1","10.5"
"Rovaniemi Apukka","2020","10","2","03:00","-","-1","9.9"
"Rovaniemi Apukka","2020","10","3","03:00","-","-1","7.4"
"Rovaniemi Apukka","2020","10","4","03:00","-","-1","6.8"
"Rovaniemi Apukka","2020","10","5","03:00","-1","0.4","8"
"Rovaniemi Apukka","2020","10","6","03:00","-1","3.6","9.3"
"Rovaniemi Apukka","2020","10","7","03:00","-1","0.1","10.1"
"Rovaniemi Apukka","2020","10","8","03:00","-1","4.6","10.1"
"Rovaniemi Apukka","2020","10","9","03:00","-1","8.3","9.3"
"Rovaniemi Apukka","2020","10","10","03:00","-1","0.6","8.1"
"Rovaniemi Apukka","2020","10","11","03:00","-1","3","7.8"
"Rovaniemi Apukka","2020","10","12","03:00","-1","-1","5.9"
"Rovaniemi Apukka","2020","10","13","03:00","-1","-1","1.7"
"Rovaniemi Apukka","2020","10","14","03:00","-1","0.2","1.1"
"Rovaniemi Apukka","2020","10","15","03:00","-1","-1","1.4"
"Rovaniemi Apukka","2020","10","16","03:00","-1","-1","0.6"
"Rovaniemi Apukka","2020","10","17","03:00","-1","15.4","1"
"Rovaniemi Apukka","2020","10","18","03:00","4","1","-0.9"
"Rovaniemi Apukka","2020","10","19","03:00","5","0.1","-0.8"
"Rovaniemi Apukka","2020","10","20","03:00","2","0.1","-3.5"
"Rovaniemi Apukka","2020","10","21","03:00","4","5.8","-3.6"
"Rovaniemi Apukka","2020","10","22","03:00","11","1.5","-0.9"
"Rovaniemi Apukka","2020","10","23","03:00","12","0.8","-2.2"
"Rovaniemi Apukka","2020","10","24","03:00","10","0.5","-1.5"
"Rovaniemi Apukka","2020","10","25","03:00","10","8.2","-0.1"
"Rovaniemi Apukka","2020","10","26","02:00","9","9.3","2.2"
"Rovaniemi Apukka","2020","10","27","02:00","2","12.8","4.4"
"Rovaniemi Apukka","2020","10","28","02:00","-1","7.4","5.1"
"Rovaniemi Apukka","2020","10","29","02:00","-1","3","5.1"
"Rovaniemi Apukka","2020","10","30","02:00","-1","-1","-3"
"Rovaniemi Apukka","2020","10","31","02:00","-1","1.4","-5"
"Rovaniemi Apukka","2020","11","1","02:00","3","0.8","2.9"
"Rovaniemi Apukka","2020","11","2","02:00","-1","22","4.4"
"Rovaniemi Apukka","2020","11","3","02:00","-1","-1","4.9"
"Rovaniemi Apukka","2020","11","4","02:00","-1","-1","2.7"
"Rovaniemi Apukka","2020","11","5","02:00","-1","3.4","3.2"
"Rovaniemi Apukka","2020","11","6","02:00","-1","-1","3.4"
"Rovaniemi Apukka","2020","11","7","02:00","-1","-1","3.5"
"Rovaniemi Apukka","2020","11","8","02:00","-1","-1","-1.1"
"Rovaniemi Apukka","2020","11","9","02:00","-1","-1","-0.3"
"Rovaniemi Apukka","2020","11","10","02:00","-1","-1","-5.3"
"Rovaniemi Apukka","2020","11","11","02:00","2","0.2","-2"
"Rovaniemi Apukka","2020","11","12","02:00","3","0.4","0.8"
"Rovaniemi Apukka","2020","11","13","02:00","-1","1.3","3.7"
"Rovaniemi Apukka","2020","11","14","02:00","-1","1.6","2"
"Rovaniemi Apukka","2020","11","15","02:00","-1","0.7","2.5"
"Rovaniemi Apukka","2020","11","16","02:00","-1","0.2","2.1"
"Rovaniemi Apukka","2020","11","17","02:00","-1","15.1","3.4"
"Rovaniemi Apukka","2020","11","18","02:00","-1","1.4","3.2"
"Rovaniemi Apukka","2020","11","19","02:00","2","2.9","-1.6"
"Rovaniemi Apukka","2020","11","20","02:00","6","-1","-2.1"
"Rovaniemi Apukka","2020","11","21","02:00","5","3.9","-5.6"
"Rovaniemi Apukka","2020","11","22","02:00","10","1.3","0.7"
"Rovaniemi Apukka","2020","11","23","02:00","7","0.7","0.1"
"Rovaniemi Apukka","2020","11","24","02:00","7","-1","-5.4"
"Rovaniemi Apukka","2020","11","25","02:00","7","6","-8.4"
"Rovaniemi Apukka","2020","11","26","02:00","14","0.1","-3.6"
"Rovaniemi Apukka","2020","11","27","02:00","14","-1","-8.4"
"Rovaniemi Apukka","2020","11","28","02:00","13","0.2","-5.1"
"Rovaniemi Apukka","2020","11","29","02:00","12","0.6","-2.2"
"Rovaniemi Apukka","2020","11","30","02:00","14","-1","-1.9"
"Rovaniemi Apukka","2020","12","1","02:00","14","3.8","-2.1"
"Rovaniemi Apukka","2020","12","2","02:00","16","0.4","-5.1"
"Rovaniemi Apukka","2020","12","3","02:00","17","-1","0"
"Rovaniemi Apukka","2020","12","4","02:00","15","1.3","-2.3"
"Rovaniemi Apukka","2020","12","5","02:00","16","4.6","-1.2"
"Rovaniemi Apukka","2020","12","6","02:00","17","9","0.6"
"Rovaniemi Apukka","2020","12","7","02:00","14","1.1","1.7"
"Rovaniemi Apukka","2020","12","8","02:00","12","-1","-1.7"
"Rovaniemi Apukka","2020","12","9","02:00","12","0.4","-3.4"
"Rovaniemi Apukka","2020","12","10","02:00","12","0.3","-1"
"Rovaniemi Apukka","2020","12","11","02:00","13","-1","-3.7"
"Rovaniemi Apukka","2020","12","12","02:00","13","0.3","-7.7"
"Rovaniemi Apukka","2020","12","13","02:00","13","-1","-4.1"
"Rovaniemi Apukka","2020","12","14","02:00","13","0.3","-5.1"
"Rovaniemi Apukka","2020","12","15","02:00","14","4.6","-4.3"
"Rovaniemi Apukka","2020","12","16","02:00","20","-1","-4.5"
"Rovaniemi Apukka","2020","12","17","02:00","19","-1","-12.9"
"Rovaniemi Apukka","2020","12","18","02:00","19","2.5","-14.2"
"Rovaniemi Apukka","2020","12","19","02:00","20","1.3","-5.2"
"Rovaniemi Apukka","2020","12","20","02:00","21","1.3","0.7"
"Rovaniemi Apukka","2020","12","21","02:00","15","0.1","2.4"
"Rovaniemi Apukka","2020","12","22","02:00","12","0.2","1.1"
"Rovaniemi Apukka","2020","12","23","02:00","12","6.3","0.8"
"Rovaniemi Apukka","2020","12","24","02:00","16","0.2","-2.7"
"Rovaniemi Apukka","2020","12","25","02:00","16","-1","-8.8"
"Rovaniemi Apukka","2020","12","26","02:00","14","1.4","-16"
"Rovaniemi Apukka","2020","12","27","02:00","22","5.1","-12.4"
"Rovaniemi Apukka","2020","12","28","02:00","26","0.5","-2.9"
"Rovaniemi Apukka","2020","12","29","02:00","26","1.4","-2.9"
"Rovaniemi Apukka","2020","12","30","02:00","25","0.8","-5.4"
"Rovaniemi Apukka","2020","12","31","02:00","25","0.9","-2.3"
"Rovaniemi Apukka","2021","1","1","02:00","25","2.2","-4.3"
"Rovaniemi Apukka","2021","1","2","02:00","29","-1","-7.3"
"Rovaniemi Apukka","2021","1","3","02:00","29","-1","-14.9"
"Rovaniemi Apukka","2021","1","4","02:00","29","-1","-21.3"
"Rovaniemi Apukka","2021","1","5","02:00","28","-1","-13.6"
"Rovaniemi Apukka","2021","1","6","02:00","28","-1","-11.1"
"Rovaniemi Apukka","2021","1","7","02:00","28","0.1","-16.5"
"Rovaniemi Apukka","2021","1","8","02:00","29","0.1","-9.2"
"Rovaniemi Apukka","2021","1","9","02:00","29","-1","-12.5"
"Rovaniemi Apukka","2021","1","10","02:00","27","0.5","-14.4"
"Rovaniemi Apukka","2021","1","11","02:00","30","0.3","-11.3"
"Rovaniemi Apukka","2021","1","12","02:00","30","-1","-17.2"
"Rovaniemi Apukka","2021","1","13","02:00","30","-1","-26.9"
"Rovaniemi Apukka","2021","1","14","02:00","-","-1","-31.3"
"Rovaniemi Apukka","2021","1","15","02:00","31","0.4","-18.2"
"Rovaniemi Apukka","2021","1","16","02:00","31","0.1","-6.4"
"Rovaniemi Apukka","2021","1","17","02:00","31","0.2","-10.1"
"Rovaniemi Apukka","2021","1","18","02:00","31","-1","-11.2"
"Rovaniemi Apukka","2021","1","19","02:00","32","-1","-12"
"Rovaniemi Apukka","2021","1","20","02:00","31","-1","-22.9"
"Rovaniemi Apukka","2021","1","21","02:00","32","1.6","-15.6"
"Rovaniemi Apukka","2021","1","22","02:00","31","2.2","-12.2"
"Rovaniemi Apukka","2021","1","23","02:00","36","2.5","-12.3"
"Rovaniemi Apukka","2021","1","24","02:00","33","0.2","-10.6"
"Rovaniemi Apukka","2021","1","25","02:00","32","2.7","-11"
"Rovaniemi Apukka","2021","1","26","02:00","36","0.1","-3.9"
"Rovaniemi Apukka","2021","1","27","02:00","32","2.2","-6.8"
"Rovaniemi Apukka","2021","1","28","02:00","38","4.4","-8.9"
